"Date_Time","Low_Range","Full_Range","Temp_C","station"
2023-05-26 01:07:05,101.4,102.5,18.72,3
2023-05-26 01:07:10,101.4,102.5,18.72,3
2023-05-26 01:07:15,101.4,102.5,18.72,3
2023-05-26 01:07:20,101.4,102.5,18.72,3
2023-05-26 01:07:25,101.4,102.5,18.73,3
2023-05-26 01:07:30,101.4,102.5,18.72,3
2023-05-26 01:07:35,101.4,102.5,18.72,3
2023-05-26 01:07:40,101.4,102.5,18.72,3
2023-05-26 01:07:45,101.4,102.5,18.72,3
2023-05-26 01:07:50,101.4,102.5,18.72,3
2023-05-26 01:07:55,101.4,102.5,18.72,3
2023-05-26 01:08:00,101.4,102.5,18.72,3
2023-05-26 01:08:05,101.4,102.5,18.72,3
2023-05-26 01:08:10,101.4,102.1,18.72,3
2023-05-26 01:08:15,101.4,102.5,18.72,3
2023-05-26 01:08:20,101.4,102.5,18.72,3
2023-05-26 01:08:25,101.4,102.5,18.72,3
2023-05-26 01:08:30,101.4,102.5,18.72,3
2023-05-26 01:08:35,101.4,102.5,18.7,3
2023-05-26 01:08:40,101.4,102.5,18.73,3
2023-05-26 01:08:45,101.4,102.5,18.72,3
2023-05-26 01:08:50,101.4,102.1,18.72,3
2023-05-26 01:08:55,101.4,102.5,18.72,3
2023-05-26 01:09:00,101.4,102.5,18.72,3
2023-05-26 01:09:05,101.4,102.5,18.7,3
2023-05-26 01:09:10,101.4,102.5,18.72,3
2023-05-26 01:09:15,101.4,102.5,18.72,3
2023-05-26 01:09:20,101.4,102.5,18.7,3
2023-05-26 01:09:25,101.4,102.1,18.72,3
2023-05-26 01:09:30,101.4,102.5,18.7,3
2023-05-26 01:09:35,101.4,102.5,18.72,3
2023-05-26 01:09:40,101.4,102.5,18.7,3
2023-05-26 01:09:45,101.4,102.5,18.7,3
2023-05-26 01:09:50,101.4,102.5,18.72,3
2023-05-26 01:09:55,101.4,102.5,18.72,3
2023-05-26 01:10:00,101.4,102.5,18.7,3
2023-05-26 01:10:05,101.4,102.5,18.7,3
2023-05-26 01:10:10,101.4,102.1,18.72,3
2023-05-26 01:10:15,101.4,102.5,18.72,3
2023-05-26 01:10:20,101.4,102.5,18.72,3
2023-05-26 01:10:25,101.4,102.5,18.72,3
2023-05-26 01:10:30,101.4,102.5,18.7,3
2023-05-26 01:10:35,101.4,102.5,18.7,3
2023-05-26 01:10:40,101.4,102.5,18.7,3
2023-05-26 01:10:45,101.4,102.5,18.72,3
2023-05-26 01:10:50,101.4,102.5,18.72,3
2023-05-26 01:10:55,101.4,102.5,18.7,3
2023-05-26 01:11:00,101.4,102.5,18.7,3
2023-05-26 01:11:05,101.4,102.5,18.7,3
2023-05-26 01:11:10,101.4,102.5,18.7,3
2023-05-26 01:11:15,101.4,102.5,18.7,3
2023-05-26 01:11:20,101.4,102.5,18.72,3
2023-05-26 01:11:25,101.4,102.5,18.7,3
2023-05-26 01:11:30,101.4,102.1,18.7,3
2023-05-26 01:11:35,101.4,102.5,18.72,3
